Date,Open,High,Low,Close,Adj Close,Volume,MA_20,MA_50,SHORT_GR_LONG,Signal,Buy & Sell
2019-08-05,1059.5,1059.5,1026.5999755859375,1036.800048828125,1026.5274658203125,1962260,1086.2825012207031,1203.3049926757812,0,,NULL
2019-08-06,1027.0,1070.0,1021.25,1046.699951171875,1036.329345703125,5738839,1083.6700012207032,1199.4199926757813,0,0.0,NULL
2019-08-07,1022.0,1040.9000244140625,998.0,1028.449951171875,1018.2601318359375,8983860,1080.0325012207031,1195.3579907226563,0,0.0,NULL
2019-08-08,1036.0,1059.800048828125,1011.6500244140625,1041.0999755859375,1030.7847900390625,2553976,1077.2375,1191.4869897460937,0,0.0,NULL
2019-08-09,1050.0,1077.0,1041.5,1067.0,1056.42822265625,2944544,1075.5275024414063,1188.014990234375,0,0.0,NULL
2019-08-13,1070.0,1088.5,1056.0999755859375,1063.8499755859375,1053.3094482421875,3293100,1074.25,1184.5769897460937,0,0.0,NULL
2019-08-14,1054.0999755859375,1090.8499755859375,1051.050048828125,1084.0,1073.259765625,1834669,1072.7125,1180.9319897460937,0,0.0,NULL
2019-08-16,1075.0,1084.300048828125,1070.199951171875,1075.800048828125,1065.1409912109375,1366746,1071.007501220703,1177.4879907226561,0,0.0,NULL
2019-08-19,1104.699951171875,1104.699951171875,1080.1500244140625,1088.949951171875,1078.16064453125,1467603,1071.4549987792968,1173.8779907226562,0,0.0,NULL
2019-08-20,1090.9000244140625,1095.75,1075.550048828125,1092.3499755859375,1081.527099609375,1584464,1071.5199951171876,1170.3459912109374,0,0.0,NULL
2019-08-21,1090.5,1097.0,1060.300048828125,1065.300048828125,1054.7451171875,1344715,1070.5074951171875,1166.1119921875,0,0.0,NULL
2019-08-22,1065.800048828125,1070.0,1048.050048828125,1061.75,1051.230224609375,1182766,1068.6374938964843,1161.6479931640624,0,0.0,NULL
2019-08-23,1062.300048828125,1082.9000244140625,1040.0,1073.5,1062.8638916015625,1925420,1067.9424926757813,1157.3409936523437,0,0.0,NULL
